Year,Geopolitical_Zone,State_Example,Unemployment_Rate_Pct,Underemployment_Rate_Pct,Youth_Unemployment_15_24_Pct,Youth_Unemployment_25_34_Pct,Labor_Force_Participation_Rate_Pct,NEET_Rate_Pct,Informal_Employment_Rate_Pct,Working_Poverty_Rate_Pct,Gender,Urban_Rural,Educational_Attainment,Sector_Employment_Pct,Average_Hours_Worked_Weekly,Time_Related_Underemployment_Pct,Methodology,Key_Context
2014,North Central,Abuja FCT,7.2,19.5,9.8,6.5,62.3,15.2,65.4,28.5,Male,Urban,Post-Secondary,18.5,42.0,12.3,Old,Pre-recession baseline; FCT government employment hub
2014,North Central,Abuja FCT,8.1,21.3,11.2,7.2,58.7,18.5,68.2,32.1,Female,Urban,Secondary,15.2,38.5,14.5,Old,Gender gap evident in capital city
2014,North Central,Benue,8.5,20.8,10.5,7.8,65.2,16.8,72.5,35.8,Male,Rural,Primary,8.5,35.0,18.2,Old,Agrarian state seasonal employment
2014,North Central,Benue,9.2,22.1,12.8,8.5,60.5,19.2,75.8,40.2,Female,Rural,No Formal,5.2,30.0,20.5,Old,Rural women subsistence farming
2014,North East,Borno,8.1,21.3,11.5,7.2,58.2,20.5,70.2,38.5,Male,Urban,Secondary,15.8,40.5,15.2,Old,Early insurgency impact visible
2014,North East,Borno,9.5,24.2,14.2,8.8,52.5,25.8,74.5,42.8,Female,Rural,No Formal,3.5,28.0,22.8,Old,Conflict-affected women limited opportunities
2014,North East,Adamawa,7.8,20.5,10.8,6.8,60.2,17.5,68.8,32.5,Male,Urban,Tertiary,20.2,43.0,13.5,Old,University town Yola employment
2014,North East,Adamawa,8.5,22.8,12.5,7.5,56.5,20.2,72.5,36.8,Female,Rural,Primary,8.2,32.0,18.5,Old,Agricultural processing limited
2014,North West,Kano,6.8,18.2,9.2,5.8,64.5,14.2,62.5,25.8,Male,Urban,Secondary,22.5,45.0,11.2,Old,Commercial center manufacturing
2014,North West,Kano,7.5,20.5,10.8,6.5,58.2,18.5,68.2,30.2,Female,Urban,No Formal,8.5,35.0,16.5,Old,Purdah limits female participation
2014,North West,Kaduna,7.2,19.2,9.5,6.2,62.8,15.5,65.8,28.2,Male,Rural,Primary,12.5,42.5,14.2,Old,Government and industrial mix
2014,North West,Kaduna,8.2,21.5,11.2,7.2,57.5,19.2,70.2,32.5,Female,Rural,Secondary,10.2,36.0,17.8,Old,Textile industry decline impact
2014,South East,Abia,8.5,20.1,11.8,7.5,60.5,17.2,72.5,30.5,Male,Urban,Tertiary,25.2,44.0,15.5,Old,Aba commercial manufacturing hub
2014,South East,Abia,9.8,22.5,13.5,8.2,55.8,20.5,75.8,35.2,Female,Urban,Secondary,15.8,38.0,18.2,Old,Informal trading dominant
2014,South East,Enugu,8.2,19.5,11.2,7.2,61.2,16.8,70.2,29.8,Male,Rural,Primary,10.5,41.0,14.8,Old,Coal city transitioning services
2014,South East,Enugu,9.2,21.8,12.8,8.0,56.5,19.5,74.2,34.5,Female,Rural,No Formal,5.8,33.0,18.5,Old,Rural women limited opportunities
2014,South South,Port Harcourt,7.9,19.8,10.5,6.8,63.2,16.2,62.5,28.2,Male,Urban,Tertiary,28.5,45.0,13.2,Old,Oil and gas sector employment
2014,South South,Port Harcourt,8.8,21.5,12.2,7.5,58.5,19.2,65.8,32.5,Female,Urban,Secondary,18.2,40.0,16.5,Old,Service sector gender gap
2014,South South,Delta,8.2,20.2,11.0,7.2,62.0,17.0,68.5,30.2,Male,Rural,Primary,12.8,42.5,15.0,Old,Oil producing rural communities
2014,South South,Delta,9.0,22.0,12.5,8.0,57.2,19.8,72.2,35.0,Female,Rural,No Formal,6.2,32.0,18.8,Old,Fishing and farming women
2014,South West,Lagos,6.4,17.9,8.5,5.5,66.5,12.5,58.2,22.5,Male,Urban,Tertiary,32.5,48.0,10.5,Old,Commercial capital finance tech
2014,South West,Lagos,7.2,19.5,9.8,6.2,62.2,15.8,62.5,26.8,Female,Urban,Secondary,22.8,42.0,13.5,Old,Lagos women entrepreneurship
2014,South West,Oyo,7.0,18.8,9.2,6.0,63.5,14.5,65.2,25.5,Male,Rural,Primary,11.5,43.0,13.8,Old,Ibadan agricultural hinterland
2014,South West,Oyo,7.8,20.5,10.5,6.8,58.8,17.2,68.8,29.5,Female,Rural,No Formal,7.5,34.0,16.8,Old,Rural women traders and farmers
2015,North Central,Abuja FCT,8.9,21.7,12.5,8.2,61.5,17.8,66.2,30.5,Male,Urban,Post-Secondary,17.8,41.0,13.8,Old,Recession onset; government hiring freeze
2015,North Central,Abuja FCT,9.8,23.5,14.2,9.0,57.2,21.2,69.5,34.8,Female,Urban,Secondary,14.5,37.0,16.2,Old,Women first fired in recession
2015,North East,Borno,10.2,24.1,14.8,9.5,56.5,23.5,72.0,40.5,Male,Urban,Secondary,14.2,39.0,17.2,Old,Insurgency intensifying displacement
2015,North East,Borno,12.5,27.5,17.2,11.2,50.2,28.5,76.5,45.8,Female,Rural,No Formal,2.8,26.0,24.5,Old,IDP camps limited livelihoods
2015,North West,Kano,8.1,20.5,11.2,7.5,63.2,16.5,64.2,27.8,Male,Urban,Secondary,21.8,44.0,12.8,Old,Recession impact on manufacturing
2015,North West,Kano,9.2,22.8,12.8,8.5,56.8,20.5,69.8,32.5,Female,Urban,No Formal,7.8,34.0,17.5,Old,Informal sector absorbs shocks
2015,South East,Abia,10.5,22.8,14.2,9.5,59.2,19.5,73.5,32.8,Male,Urban,Tertiary,24.5,43.0,16.8,Old,Graduate unemployment rising sharply
2015,South East,Abia,12.2,25.2,16.5,11.0,54.5,22.8,76.8,38.2,Female,Urban,Secondary,15.2,37.0,19.5,Old,Aba shoe garment sector decline
2015,South South,Port Harcourt,9.8,22.1,12.8,8.8,62.0,18.5,64.2,30.5,Male,Urban,Tertiary,27.5,44.0,15.2,Old,Oil price crash layoffs beginning
2015,South South,Port Harcourt,10.8,24.2,14.5,9.8,57.2,21.5,67.5,35.2,Female,Urban,Secondary,17.5,39.0,17.8,Old,Oil services indirect job losses
2015,South West,Lagos,7.8,19.5,10.2,6.8,65.5,14.8,59.5,24.5,Male,Urban,Tertiary,31.5,47.0,12.0,Old,Lagos resilience during recession start
